rut_paciente,nombre_completo,fecha_nacimiento,sexo,prevision,id_atencion,fecha_atencion,tipo_atencion,codigo_cie10,codigo_minsal,dosis_prescrita,alergia_principio,id_examen,codigo_examen,resultado_valor,unidad_medida
10.925.070-8,Isidora Daniela Perez Silva,1982-02-20,F,DIPRECA,2983b148-abb9-4e21-9afd-c31eb9ec5a55,2026-04-26 18:13:27,URGENCIA,J00,M002,400mg,Amoxicilina,af2c7181-8d7d-4821-b1bd-047d6dd28400,302047,66.78,mmol/L
10.548.359-7,Sofia Ana Torres Perez,1961-06-05,F,CAPREDENA,ba71df68-54dc-41c3-9669-497ab9e9a145,2025-08-13 18:13:27,CONSULTA,E11.9,M004,500mg,Paracetamol,096e9c2d-39ee-4e6a-893b-c140294ee67c,301045,28.86,mmol/L
11.837.504-1,Roberto Carlos Gonzalez Fuentes,1993-01-17,M,DIPRECA,40179e29-d449-4111-b6b4-4a5f989a84a1,2025-09-13 18:13:27,URGENCIA,K21.9,M004,300mg,,6cc9fb3a-4682-4e75-acdc-ab0ee3665d15,301004,38.45,U/L
17.702.083-4,Roberto Diego Torres Rojas,2020-08-07,M,FONASA,88133b54-ae88-4bb7-9b58-61f1d2e2578c,2025-10-05 18:13:27,CONSULTA,J00,M002,400mg,,f98c2f4b-90ce-478b-a4d2-83c96a11bc44,301004,8.08,U/L
9.720.651-1,Matias Diego Lopez Silva,1965-10-20,M,ISAPRE,2fc44a0e-5c67-42de-8d65-ee14db67562f,2025-12-30 18:13:27,PROCEDIMIENTO,J00,M002,400mg,,4bcead33-39fc-408a-a042-a5bd5d08d206,301045,49.56,mg/dL
9.995.620-8,Andres Luis Fuentes Contreras,1946-10-11,M,CAPREDENA,e2a141be-64e9-40cc-b1d0-660650c60cd3,2026-02-06 18:13:27,PROCEDIMIENTO,E11.9,M003,200mg,,167a9aad-141c-4550-af87-54a27533e793,301004,13.09,mg/dL
20.079.682-9,Valentina Valentina Lopez Soto,1996-02-11,F,NINGUNA,eacb8239-8d22-4bf3-ae3f-a6bc7c7855c0,2024-06-28 18:13:27,PROCEDIMIENTO,K21.9,M002,200mg,,e287a9a8-8836-4b35-8160-60cfc4efbc02,302076,24.25,U/L
15.712.725-0,Juan Juan Rojas Silva,1998-04-28,M,CAPREDENA,df79d8f0-ac2c-4044-b9f9-5d305903b7f3,2024-11-09 18:13:27,URGENCIA,I10,M005,100mg,,a5f1db5d-29b3-4c55-81b8-7ee12f34e7ea,302076,59.76,mg/dL
11.476.781-6,Ana Isidora Gonzalez Perez,1946-11-22,F,ISAPRE,f673690a-c95b-4fda-b637-85a43c36d7bd,2026-02-21 18:13:27,CONSULTA,J00,M002,400mg,,22453d79-7500-4729-bf25-e01b33f1f16d,301045,20.75,mg/dL
11.136.227-0,Daniela Daniela Diaz Rodriguez,1994-12-24,F,NINGUNA,7e658dcd-6a6b-4c01-88fa-612808534947,2024-09-24 18:13:27,HOSPITALIZACION,K21.9,M003,500mg,,2f9edb45-4906-47ab-9cde-ca0588301da4,302076,127.74,U/L
20.087.137-5,Matias Andres Rodriguez Hernandez,1969-11-06,M,DIPRECA,4f1272c3-1511-40f9-8696-a0c5d35b2eca,2025-03-15 18:13:27,PROCEDIMIENTO,M54.5,M003,200mg,,e42b2280-1d4b-42e8-8801-ff2cf1798270,301004,141.33,mmol/L
9.019.271-0,Fernanda Sofia Silva Diaz,1960-04-26,F,ISAPRE,daabdf5e-35e6-480a-a8b2-fb4e1dcaaf01,2026-04-19 18:13:27,PROCEDIMIENTO,A09.9,M004,300mg,,c5aa522a-4a45-48aa-9d54-666a6113a6ba,301045,60.69,mg/dL
11.336.082-8,Antonia Antonia Muñoz Rodriguez,1986-07-31,F,DIPRECA,bccd2800-c8e6-4668-a3ba-647c810ad362,2026-04-21 18:13:27,URGENCIA,K21.9,M003,500mg,Paracetamol,417f62e9-8ce4-48db-8041-345b0521d4d3,302076,71.67,mmol/L
12.584.989-0,Isidora Camila Morales Hernandez,1969-05-10,F,ISAPRE,a1f3ca80-5c73-4da1-9d55-0550a213aeb2,2026-02-15 18:13:27,PROCEDIMIENTO,M54.5,M003,300mg,Ibuprofeno,ecfa3724-a7f8-4acf-9182-51526ef9b67c,301004,82.84,U/L
14.221.214-5,Jorge Andres Morales Torres,1983-03-25,M,ISAPRE,53e80a41-b52c-49f6-a83e-035b8fa6aff5,2025-10-10 18:13:27,URGENCIA,I10,M002,500mg,,3431c8b2-2402-47e2-90c5-c8517a318aeb,301045,123.45,U/L
8.811.058-7,Juan Gabriel Soto Fuentes,1979-11-14,M,CAPREDENA,70625919-5144-4fad-a0c6-79bb5b4a29dc,2025-09-25 18:13:27,HOSPITALIZACION,I10,M001,100mg,,1fd0e307-b3a1-4df2-b114-d4d9952ab151,301045,109.8,mg/dL
10.215.970-5,Luis Felipe Rojas Rojas,1946-07-25,M,CAPREDENA,047a6919-4d8c-4165-bf0f-e5c2d29ed6ec,2024-12-20 18:13:27,HOSPITALIZACION,K21.9,M004,300mg,,65f5f111-96ba-44b3-a651-61509fc528e2,302076,82.17,mg/dL
7.191.246-9,Roberto Jorge Gonzalez Fuentes,2015-07-04,M,CAPREDENA,766519f9-2b63-4c5d-8514-c7caf6146b0a,2024-09-12 18:13:27,PROCEDIMIENTO,E11.9,M004,500mg,,b0ca9931-474c-4468-9a60-622be547ea33,301004,92.07,mmol/L
7.817.964-3,Javiera Fernanda Perez Martinez,1992-02-18,F,CAPREDENA,553ab4d8-6167-4dd5-bbde-5b0a10f2b059,2026-04-24 18:13:27,HOSPITALIZACION,K21.9,M004,300mg,,326626a7-cf94-4bb9-8dc1-b0a129e5a5c3,302047,18.48,mmol/L
13.708.039-7,Luis Andres Soto Soto,1954-09-01,M,NINGUNA,be3df3f6-a4e6-463a-a41c-4108dc9c4029,2024-10-24 18:13:27,CONSULTA,A09.9,M003,500mg,,72b2349c-9c0f-4fb1-b2fc-bdc249616191,302047,83.25,mmol/L
10.485.515-6,Pedro Carlos Sepulveda Muñoz,1984-09-30,M,ISAPRE,12989f49-4775-402e-9249-299a73a56b45,2025-10-30 18:13:27,PROCEDIMIENTO,K21.9,M002,500mg,,9027b8b9-425d-4b6a-a302-9e4fc3f2c4c1,302076,84.74,mg/dL
